,host response time,host response rate,host verifications,latitude,longitude,property type,room type,bathrooms,bedrooms,beds,bed type,amenities,security deposit,cleaning fee,guests included,extra people,minimum nights,maximum nights,availability 365,number of reviews,cancellation policy,features,price,average review,final neighbourhood,years being host
14312,within an hour,100.0,4,40.42112800953412,-3.708628083374189,Apartment,Entire home/apt,1.0,2.0,4.0,Real Bed,22,183.0,30.0,2,10,1,1125,306,134,strict,5,89.0,21.714285714285715,Centro,2
14313,within an hour,100.0,4,40.41203004095389,-3.7096681166959846,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,13,150.0,30.0,2,20,2,90,293,137,moderate,6,49.0,20.714285714285715,Centro,7
14314,within an hour,100.0,3,40.412053631394926,-3.7085155858735415,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,20,300.0,29.0,2,15,3,1125,338,26,strict,4,89.0,22.428571428571427,Centro,1
14315,within an hour,100.0,5,40.4208317649148,-3.712056663087437,Apartment,Private room,2.0,1.0,3.0,Real Bed,10,183.0,15.0,1,15,1,1125,364,2,strict,3,49.0,18.571428571428573,Centro,5
14316,within an hour,100.0,6,40.42318289683382,-3.7109475251936144,Apartment,Private room,1.0,1.0,1.0,Real Bed,8,183.0,30.0,1,0,1,1125,337,124,flexible,4,35.0,21.0,Centro,3
14317,within an hour,95.0,4,40.41189051875256,-3.7120934990816714,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,11,183.0,30.0,1,0,3,1125,0,31,strict,4,61.0,21.857142857142858,Centro,3
14318,within an hour,100.0,3,40.41104526131139,-3.710854098898605,Bed & Breakfast,Private room,2.0,1.0,1.0,Real Bed,14,183.0,5.0,1,15,1,1125,193,120,moderate,4,30.0,21.714285714285715,Centro,2
14319,within an hour,95.0,6,40.41905831464957,-3.708085954606533,Apartment,Private room,3.0,1.0,1.0,Real Bed,9,200.0,30.0,1,0,7,1125,281,0,strict,4,35.0,21.257599200162016,Centro,0
14320,within an hour,94.0,4,40.411075573847576,-3.7121343761750007,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,7,200.0,33.0,1,0,4,365,333,5,flexible,6,72.0,20.428571428571427,Centro,6
14321,within a day,80.0,4,40.41052180725536,-3.713241861771477,Apartment,Entire home/apt,1.0,3.0,3.0,Real Bed,7,100.0,40.0,1,0,3,1125,122,17,strict,4,85.0,18.428571428571427,Centro,4
14322,a few days or more,40.0,6,40.41152476382037,-3.7082926392316335,Apartment,Private room,1.0,1.0,1.0,Real Bed,9,183.0,30.0,1,11,2,1125,279,0,flexible,3,29.0,21.257599200162016,Centro,4
14323,within an hour,100.0,4,40.410019609739926,-3.712074454878132,Apartment,Private room,1.0,1.0,1.0,Pull-out Sofa,15,183.0,30.0,1,0,1,1125,343,112,flexible,4,40.0,22.142857142857142,Centro,4
14324,within an hour,95.0,5,40.409996466572096,-3.717385023245695,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,19,183.0,30.0,1,0,3,3,283,0,moderate,3,80.0,21.257599200162016,Centro,3
14325,within an hour,100.0,4,40.42199701283258,-3.711885325589156,House,Entire home/apt,1.0,4.0,9.0,Real Bed,18,183.0,49.0,1,29,1,99999,357,0,strict,3,124.0,21.257599200162016,Centro,3
14326,within a day,100.0,3,40.41113488725132,-3.709517913121747,House,Entire home/apt,1.0,3.0,6.0,Real Bed,14,183.0,15.0,1,0,2,1125,294,0,moderate,3,170.0,21.257599200162016,Centro,1
14328,within a few hours,100.0,4,40.416762152387896,-3.711950089182722,Apartment,Private room,2.0,1.0,1.0,Real Bed,15,183.0,15.0,1,0,10,1125,311,0,strict,3,20.0,21.257599200162016,Centro,3
14329,within a few hours,100.0,4,40.41072303383312,-3.710592140412104,Apartment,Private room,1.0,1.0,1.0,Real Bed,15,183.0,5.0,1,10,1,20,36,40,flexible,4,21.0,21.714285714285715,Centro,4
14330,within an hour,95.0,3,40.41106559120602,-3.712972625283208,Apartment,Private room,2.0,1.0,1.0,Real Bed,10,200.0,30.0,1,0,7,1125,123,0,strict,3,30.0,21.257599200162016,Centro,1
14331,within an hour,95.0,4,40.42101191132844,-3.707140781133949,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,16,183.0,30.0,1,0,3,1125,204,1,moderate,4,105.0,32.5,Centro,1
14332,within an hour,100.0,6,40.40999046457231,-3.7114066681207984,Apartment,Entire home/apt,2.0,2.0,5.0,Real Bed,18,100.0,40.0,1,0,4,1125,261,6,strict,4,139.0,22.285714285714285,Centro,5
14333,within an hour,100.0,4,40.42059492762297,-3.707408241189024,Apartment,Private room,1.0,1.0,1.0,Real Bed,13,183.0,30.0,1,13,1,1125,59,192,strict,4,25.0,22.428571428571427,Centro,2
14334,within an hour,88.0,3,40.411032491003645,-3.709092420167421,Apartment,Private room,1.0,1.0,1.0,Real Bed,19,183.0,30.0,1,8,2,30,145,79,moderate,2,26.0,20.428571428571427,Centro,2
14335,within an hour,100.0,6,40.41208468120555,-3.706798271783686,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,12,183.0,30.0,1,0,2,30,34,18,moderate,4,50.0,21.285714285714285,Centro,1
14336,within a few hours,100.0,4,40.41396912868428,-3.7058594271974985,Apartment,Private room,1.0,1.0,1.0,Real Bed,13,183.0,15.0,1,0,10,1125,311,0,strict,3,20.0,21.257599200162016,Centro,3
14337,within an hour,95.0,7,40.41227073847604,-3.699604354999334,Apartment,Private room,2.0,1.0,1.0,Real Bed,11,200.0,30.0,1,0,7,1125,282,0,strict,4,29.0,21.257599200162016,Centro,0
14338,within a few hours,75.0,4,40.41051910961964,-3.7052665443797577,Apartment,Private room,1.0,1.0,1.0,Real Bed,18,183.0,20.0,1,15,2,1125,343,3,flexible,3,25.0,22.714285714285715,Centro,5
14339,within a day,100.0,5,40.40912613395447,-3.70362344480536,Apartment,Private room,1.0,1.0,1.0,Real Bed,18,183.0,30.0,1,0,20,30,46,3,flexible,4,10.0,22.857142857142858,Centro,2
14340,within an hour,100.0,3,40.40973953345047,-3.708266190103482,Condominium,Private room,1.0,1.0,1.0,Real Bed,12,183.0,30.0,1,0,1,1125,307,14,flexible,3,30.0,22.142857142857142,Centro,1
14341,within a day,63.0,3,40.40942190205599,-3.693956658692055,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,16,500.0,30.0,1,0,1,1125,319,16,flexible,2,65.0,20.571428571428573,Centro,3
14342,within a few hours,100.0,4,40.413941583218175,-3.705116521683304,Apartment,Private room,1.0,1.0,1.0,Real Bed,13,183.0,15.0,1,5,10,1125,311,1,strict,3,25.0,15.714285714285714,Centro,3
14343,within an hour,100.0,3,40.40900620474216,-3.710069351845208,Apartment,Entire home/apt,2.0,2.0,2.0,Real Bed,9,500.0,50.0,1,0,3,1125,189,2,flexible,3,69.0,22.714285714285715,Centro,1
14344,within an hour,100.0,6,40.40779749029216,-3.6986275159898767,Other,Entire home/apt,1.0,1.0,1.0,Real Bed,19,183.0,20.0,2,0,2,1125,114,11,moderate,3,47.0,22.0,Centro,1
14345,within an hour,100.0,5,40.4072654177492,-3.700292715251066,Apartment,Entire home/apt,1.0,2.0,2.0,Real Bed,16,90.0,18.0,2,5,2,14,307,35,moderate,5,43.0,20.0,Centro,1
14346,within an hour,95.0,3,40.40810275254491,-3.705530383131003,Apartment,Private room,1.5,1.0,1.0,Real Bed,11,183.0,30.0,1,7,1,1125,4,0,moderate,2,20.0,21.257599200162016,Centro,3
14347,within an hour,100.0,3,40.40815952228811,-3.6997331395406583,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,15,100.0,30.0,2,5,2,1125,297,41,moderate,3,60.0,21.857142857142858,Centro,4
14348,within a few hours,99.0,3,40.407844523067965,-3.7042759861840753,Bed & Breakfast,Private room,1.0,1.0,1.0,Real Bed,8,183.0,30.0,1,0,1,1125,171,183,flexible,3,25.0,18.571428571428573,Centro,3
14349,within a day,100.0,3,40.40974953132305,-3.6946348683887433,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,10,150.0,30.0,1,0,3,1125,37,1,moderate,3,60.0,15.714285714285714,Centro,1
14350,within an hour,100.0,4,40.40999991298636,-3.704004847495652,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,19,150.0,30.0,2,0,3,1125,329,32,moderate,7,60.0,22.142857142857142,Centro,5
14351,within a few hours,100.0,6,40.40968147613178,-3.6994903202226905,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,14,183.0,18.0,1,0,2,7,40,17,strict,3,60.0,21.714285714285715,Centro,4
14353,within a few hours,95.0,4,40.40912641234824,-3.6972803466467816,Apartment,Entire home/apt,2.0,2.0,4.0,Real Bed,15,183.0,30.0,1,0,2,1125,20,14,moderate,4,99.0,20.571428571428573,Centro,3
14354,within an hour,100.0,5,40.40748347667463,-3.7101908676698714,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,22,150.0,30.0,2,12,3,1125,343,28,strict,7,65.0,21.714285714285715,Centro,4
14355,within a few hours,100.0,3,40.40890556240012,-3.693720734911091,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,20,100.0,30.0,2,10,4,120,330,6,moderate,3,70.0,22.571428571428573,Centro,5
